Recipient,RecipientType,AttachmentId,FileName,ClientId,MatterId,Length,EmailId,Sent,Subject,Sender,AnomalyType,AnomalyName
austyn.lynch@hoppemclaughlin.org,To,1478,Fugit repellendus repellat facere libero.ppt,KASSULKESCHUSTERANDPFEFFER,71841126,58987520,501,17/01/2017 12:26:09,Eum ad quia voluptas omnis qui quasi voluptas.,shawna.grady@tremblayhamill.org,0,Permitted Matter Attachment Sharing
austyn.lynch@hoppemclaughlin.org,To,1479,Nostrum quis velit iusto est aut nemo.doc,KASSULKESCHUSTERANDPFEFFER,71841126,7539712,501,17/01/2017 12:26:09,Eum ad quia voluptas omnis qui quasi voluptas.,shawna.grady@tremblayhamill.org,0,Permitted Matter Attachment Sharing
austyn.lynch@hoppemclaughlin.org,To,1480,Dolores fuga pariatur nihil.xls,KASSULKESCHUSTERANDPFEFFER,71841126,573440,501,17/01/2017 12:26:09,Eum ad quia voluptas omnis qui quasi voluptas.,shawna.grady@tremblayhamill.org,0,Permitted Matter Attachment Sharing
austyn.lynch@hoppemclaughlin.org,To,1481,Fugiat in quae ipsum voluptatem tenetur sit.jpg,KASSULKESCHUSTERANDPFEFFER,71841126,21948416,501,17/01/2017 12:26:09,Eum ad quia voluptas omnis qui quasi voluptas.,shawna.grady@tremblayhamill.org,0,Permitted Matter Attachment Sharing
austyn.lynch@hoppemclaughlin.org,To,1482,Reiciendis suscipit est pariatur quaerat et earum aliquid aliquid amet.png,KASSULKESCHUSTERANDPFEFFER,71841126,82647040,501,17/01/2017 12:26:09,Eum ad quia voluptas omnis qui quasi voluptas.,shawna.grady@tremblayhamill.org,0,Permitted Matter Attachment Sharing
elyse.hills@klockokautzer.biz,To,1483,Temporibus dolor quo eveniet accusantium suscipit.xlsx,MILLSRODRIGUEZANDBAHRINGER,89778815,72406016,502,16/01/2017 02:58:35,Facilis iusto itaque.,brain.nienow@tremblayhamill.org,0,Permitted Matter Attachment Sharing
elyse.hills@klockokautzer.biz,To,1484,Libero maiores ratione.xls,MILLSRODRIGUEZANDBAHRINGER,89778815,44154880,502,16/01/2017 02:58:35,Facilis iusto itaque.,brain.nienow@tremblayhamill.org,0,Permitted Matter Attachment Sharing
elyse.hills@klockokautzer.biz,To,1485,Ut labore consectetur voluptates.docx,MILLSRODRIGUEZANDBAHRINGER,89778815,88168448,502,16/01/2017 02:58:35,Facilis iusto itaque.,brain.nienow@tremblayhamill.org,0,Permitted Matter Attachment Sharing
hudson.adams@bergstrommuller.net,To,1486,Ea ea id.docx,SCHNEIDERMERTZ,43498562,62199808,503,15/01/2017 02:54:54,A nemo placeat dolorem voluptas voluptatem officia.,soledad.rolfson@tremblayhamill.org,0,Permitted Matter Attachment Sharing
emmalee.daugherty@rutherfordrenner.net,To,1486,Ea ea id.docx,SCHNEIDERMERTZ,43498562,62199808,503,15/01/2017 02:54:54,A nemo placeat dolorem voluptas voluptatem officia.,soledad.rolfson@tremblayhamill.org,0,Permitted Matter Attachment Sharing
hudson.adams@bergstrommuller.net,To,1487,Ipsum quam beatae repudiandae.jpg,SCHNEIDERMERTZ,43498562,97474560,503,15/01/2017 02:54:54,A nemo placeat dolorem voluptas voluptatem officia.,soledad.rolfson@tremblayhamill.org,0,Permitted Matter Attachment Sharing
